task_name,method,prompt_detail,n,perm_id,rank
summarize_intro,best-of-n,no_prompt_no_critique,16,0,1
summarize_intro,best-of-n,no_prompt_no_critique,4,0,2
summarize_intro,best-of-n,no_prompt_no_critique,control,0,3
summarize_intro,best-of-n,no_prompt_no_critique,2,0,4
summarize_intro,best-of-n,no_prompt_no_critique,8,0,5
summarize_intro,best-of-n,no_prompt_no_critique,4,1,1
summarize_intro,best-of-n,no_prompt_no_critique,8,1,2
summarize_intro,best-of-n,no_prompt_no_critique,16,1,3
summarize_intro,best-of-n,no_prompt_no_critique,control,1,4
summarize_intro,best-of-n,no_prompt_no_critique,2,1,5
summarize_intro,best-of-n,no_prompt_no_critique,4,2,1
summarize_intro,best-of-n,no_prompt_no_critique,control,2,2
summarize_intro,best-of-n,no_prompt_no_critique,16,2,3
summarize_intro,best-of-n,no_prompt_no_critique,2,2,4
summarize_intro,best-of-n,no_prompt_no_critique,8,2,5
summarize_intro,best-of-n,no_prompt_no_critique,16,3,1
summarize_intro,best-of-n,no_prompt_no_critique,4,3,2
summarize_intro,best-of-n,no_prompt_no_critique,8,3,3
summarize_intro,best-of-n,no_prompt_no_critique,control,3,4
summarize_intro,best-of-n,no_prompt_no_critique,2,3,5
summarize_intro,best-of-n,no_prompt_no_critique,4,4,1
summarize_intro,best-of-n,no_prompt_no_critique,control,4,2
summarize_intro,best-of-n,no_prompt_no_critique,16,4,3
summarize_intro,best-of-n,no_prompt_no_critique,8,4,4
summarize_intro,best-of-n,no_prompt_no_critique,2,4,5
summarize_intro,best-of-n,no_critique,4,0,1
summarize_intro,best-of-n,no_critique,control,0,2
summarize_intro,best-of-n,no_critique,2,0,3
summarize_intro,best-of-n,no_critique,8,0,4
summarize_intro,best-of-n,no_critique,16,0,5
summarize_intro,best-of-n,no_critique,4,1,1
summarize_intro,best-of-n,no_critique,2,1,2
summarize_intro,best-of-n,no_critique,control,1,3
summarize_intro,best-of-n,no_critique,16,1,4
summarize_intro,best-of-n,no_critique,8,1,5
summarize_intro,best-of-n,no_critique,8,2,1
summarize_intro,best-of-n,no_critique,16,2,2
summarize_intro,best-of-n,no_critique,4,2,3
summarize_intro,best-of-n,no_critique,control,2,4
summarize_intro,best-of-n,no_critique,2,2,5
summarize_intro,best-of-n,no_critique,8,3,1
